family_key,family_title,brands,variant_count,variant_codes,variant_labels,colors,sizes,supplier_codes,gtins,min_msrp,max_msrp,image_count,source_urls
907086,ΣΑΚΙΔΙΟ PICCOLINO,POLO,4,8392|8393|8394|8395,DOMINO,,O/S,907086-8392|907086-8393|907086-8394|907086-8395,,28.00,28.00,11,https://www.polo.gr/bags/back2school/nipiagogeiou/el-backpack-piccolino-8392/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backpack-piccolino-8393/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backpack-piccolino-8394/|https://www.polo.gr/bags/back2school/nipiagogeiou/el-backpack-piccolino-8395/
907087,ΣΑΚΙΔΙΟ MINI ESSENCE,POLO,1,2039,DOMINO,,O/S,907087-2039,,33.00,33.00,3,https://www.polo.gr/bags/urban/women-bag/1-el-backpack-mini-essence-2039/
907088,ΧΑΡΤΟΦΥΛΑΚΑΣ ESSENCE,POLO,1,2039,DOMINO,,O/S,907088-2039,,35.20,35.20,4,https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-essence-2039/
907089,ΧΑΡΤΟΦΥΛΑΚΑΣ ELEMENT,POLO,1,2000,BLACK,Μαύρο,O/S,907089-2000,,35.20,35.20,3,https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-element-2000/
907095,ΤΣΑΝΤΑ SEYA,POLO,2,8485|8486,8485|8486,,O/S,907095-8485|907095-8486,5201927152628|5201927152635,37.40,37.40,5,https://www.polo.gr/bags/urban/women-bag/el-bag-seya-8485/|https://www.polo.gr/bags/urban/women-bag/el-bag-seya-8486/
907096,ΤΣΑΝΤΑ ΦΑΓΗΤΟΥ DOUBLE COOLER,POLO,4,2000|3001|5000|6848,2000|Red|5000|Mint,Κόκκινο,O/S,907096-2000|907096-3001|907096-5000|907096-6848,5201927129095|5201927129101|5201927154264|5201927136765,22.00,22.00,12,https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-lunch-bag-double-cooler-2000/|https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-mini-bag-double-cooler-3001/|https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-mini-bag-double-cooler-5000/|https://www.polo.gr/bags/back2school/el-back2school-food-accessories/el-lunch-bag-double-cooler-6848/
907097,ΤΣΑΝΤΑΚΙ SEYA,POLO,2,8485|8486,8485|8486,,O/S,907097-8485|907097-8486,5201927152581|5201927152598,27.50,27.50,2,https://www.polo.gr/bags/urban/women-bag/el-mini-bag-seya-8485/|https://www.polo.gr/bags/urban/women-bag/el-mini-bag-seya-8486/
907098,ΤΣΑΝΤΑΚΙ LUMIRA,POLO,2,2000|3919,2000|3919,,O/S,907098-2000|907098-3919,5201927152789|5201927152796,30.80,30.80,3,https://www.polo.gr/bags/urban/women-bag/el-backpack-lumira-2000-2/|https://www.polo.gr/bags/urban/women-bag/el-backpack-lumira-3919-2/
907099,ΘΗΚΗ ΓΙΑ LAPTOP ELYRO,POLO,2,2000|2300,Black|Grey,Μαύρο|Γκρι,O/S,907099-2000|907099-2300,5201927152925|5201927152932,19.14,19.14,2,https://www.polo.gr/bags/urban/xartofilakas/el-case-for-laptop-elyro-2000/|https://www.polo.gr/bags/urban/xartofilakas/el-case-for-laptop-elyro-2300/
907101,ΤΣΑΝΤΑΚΙ ΩΜΟΥ WAVE,POLO,3,2002|2900|3300,2002|2900|3300,,O/S,907101-2002|907101-2900|907101-3300,5201927125592|5201927105730|5201927111359,18.70,18.70,3,https://www.polo.gr/bags/urban/shoulder-bag/el-wave-shoulder-bag-2002/|https://www.polo.gr/bags/urban/shoulder-bag/el-wave-shoulder-bag-2900/|https://www.polo.gr/bags/urban/shoulder-bag/el-wave-shoulder-bag-3300/
907105,ΤΣΑΝΤΑ ΠΟΥΓΚΙ SEYA,POLO,2,8485|8486,8485|8486,,O/S,907105-8485|907105-8486,5201927152703|5201927152710,37.40,37.40,2,https://www.polo.gr/bags/urban/women-bag/el-pouch-bag-seya-8485/|https://www.polo.gr/bags/urban/women-bag/el-pouch-bag-seya-8486/
907106,ΧΑΡΤΟΦΥΛΑΚΑΣ PRESTOR,POLO,1,2100,DOMINO,,O/S,907106-2100,,22.00,22.00,2,https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-prestor-2100/
907110,ΤΣΑΝΤΑΚΙ ΩΜΟΥ X CASE-L,POLO,1,2000,X-Case,,O/S,907110-2000,5201927107529,22.00,22.00,1,https://www.polo.gr/bags/urban/shoulder-bag/el-x-case-l-shoulder-bag-2000/
907111,ΤΣΑΝΤΑΚΙ ΩΜΟΥ X CASE-S,POLO,1,2000,X-Case Small,,O/S,907111-2000,5201927107536,19.80,19.80,1,https://www.polo.gr/bags/urban/shoulder-bag/el-x-case-s-shoulder-bag-2000/
907119,ΤΣΑΝΤΑΚΙ ΩΜΟΥ X-CROSS GUN,POLO,1,2000,DOMINO,,O/S,907119-2000,,27.00,27.00,3,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-x-cross-gun-shoulder-bag-2000/
907134,ΤΣΑΝΤΑΚΙ ΩΜΟΥ CROSSWIDE,POLO,1,2000,2000,,O/S,907134-2000,5201927107543,32.00,32.00,1,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-crosswide-shoulder-bag-2000/
907139,ΤΣΑΝΤΑΚΙ PRESTOR,POLO,1,2100,2100,,O/S,907139-2100,5201927152987,17.20,17.20,2,https://www.polo.gr/bags/urban/shoulder-bag/el-mini-bag-prestor-2100/
907144,ΤΣΑΝΤΑΚΙ ΩΜΟΥ SKYFORCE-S,POLO,2,2000|2200,2000|Skyforce Small,,O/S,907144-2000|907144-2200,5201927110635|5201927110642,24.20,24.20,2,https://www.polo.gr/bags/urban/shoulder-bag/el-skyforce-s-shoulder-bag-2000/|https://www.polo.gr/bags/urban/shoulder-bag/el-skyforce-s-shoulder-bag-2200/
907145,ΤΣΑΝΤΑΚΙ ΩΜΟΥ SKYFORCE-L,POLO,2,2000|2200,SKYFORCE|Skyforce Large,,O/S,907145-2000|907145-2200,5201927110666,26.40,26.40,2,https://www.polo.gr/bags/urban/shoulder-bag/el-skyforce-l-shoulder-bag-2000/|https://www.polo.gr/bags/urban/shoulder-bag/el-skyforce-l-shoulder-bag-2200/
907148,ΤΣΑΝΤΑΚΙ ΩΜΟΥ CHARGER,POLO,1,2000,2000,,O/S,907148-2000,5201927110765,22.00,22.00,1,https://www.polo.gr/bags/urban/shoulder-bag/el-charger-shoulder-bag-2000/
907162,ΤΣΑΝΤΑΚΙ DOMINUS,POLO,1,2000,2000,,O/S,907162-2000,5201927153007,20.30,20.30,1,https://www.polo.gr/bags/urban/shoulder-bag/el-mini-bag-dominus-2000/
907173,ΤΣΑΝΤΑΚΙ ΩΜΟΥ FLAKE,POLO,1,2000,2000,,O/S,907173-2000,5201927108243,24.20,24.20,1,https://www.polo.gr/bags/urban/shoulder-bag/el-flake-shoulder-bag-2000/
907174,ΤΣΑΝΤΑΚΙ ΩΜΟΥ HUB,POLO,1,2000,2000,,O/S,907174-2000,5201927108267,26.40,26.40,1,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-hub-shoulder-bag-2200/
907175,ΤΣΑΝΤΑΚΙ OCTANE,POLO,1,2000,2000,,O/S,907175-2000,5201927153021,19.40,19.40,2,https://www.polo.gr/bags/urban/shoulder-bag/el-mini-bag-octane-2000/
907718,ΧΑΡΤΟΦΥΛΑΚΑΣ CLASSIC,POLO,3,2000|2100|4700,2000|2100|4700,,O/S,907718-2000|907718-2100|907718-4700,5201927132866,27.50,27.50,6,https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-classic-2000/|https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-classic-2100/|https://www.polo.gr/bags/urban/xartofilakas/el-briefcase-classic-4700/
907960,ΣΑΚΙΔΙΟ TRICROSS,POLO,2,2000|6500,2000|6500,,O/S,907960-2000|907960-6500,5201927108144|5201927107185,23.10,23.10,3,https://www.polo.gr/bags/urban/urban-bag/el-tricross-backback-2000/|https://www.polo.gr/bags/urban/urban-bag/el-tricross-backback-6500/
907962,ΤΣΑΝΤΑ ΩΜΟΥ CROSS BAG,POLO,1,2000,2000,,O/S,907962-2000,5201927116286,31.90,31.90,2,https://www.polo.gr/bags/urban/el-urban-chest-bags/el-shoulder-bag-cross-bag-2000/
908001,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ DENVER,POLO,1,2000,2000,,O/S,908001-2000,,18.00,18.00,1,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-denver-2000-2/
908002,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ SUPREME,POLO,1,2000,DOMINO,,O/S,908002-2000,,22.00,22.00,2,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-supreme-2000/
908004,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ CAMERA,POLO,1,2000,2000,,O/S,908004-2000,5201927110673,24.20,24.20,1,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-camera-2000/
908007,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ ALL TRAIL,POLO,1,2000,DOMINO,,O/S,908007-2000,,12.00,12.00,1,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-trail-2000/
908008,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ CHARGER,POLO,1,2000,DOMINO,,O/S,908008-2000,,18.70,18.70,1,https://www.polo.gr/bags/urban/waist-bag/el-charger-waist-bag-2000/
908012,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ TACTICAL,POLO,1,2900,2900,,O/S,908012-2900,5201927110697,17.60,17.60,1,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-tactical-2900/
908016,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ RAIDER,POLO,1,2000,2000,,O/S,908016-2000,5201927114701,20.00,20.00,3,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-raider-2000/
908021,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ PITTOCK,POLO,1,2000,DOMINO,,O/S,908021-2000,,15.40,15.40,1,https://www.polo.gr/bags/urban/waist-bag/el-pittock-waist-bag-2000/
908025,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ ACTIVE,POLO,1,2000,DOMINO,,O/S,908025-2000,,22.00,22.00,1,https://www.polo.gr/bags/urban/waist-bag/el-active-waist-bag-02/
908026,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ STAID,POLO,1,2000,2000,,O/S,908026-2000,5201927114954,26.00,26.00,1,https://www.polo.gr/bags/urban/waist-bag/el-waist-bag-staid-2000/
908027,ΤΣΑΝΤΑΚΙ ΜΕΣΗΣ EURO,POLO,1,2000,DOMINO,,O/S,908027-2000,,19.80,19.80,1,https://www.polo.gr/bags/urban/waist-bag/el-euro-waist-bag-2000-2/
908028,ΚΕΡΜΑΤΟΘΗΚΗ POLO,POLO,1,00,DOMINO,,O/S,908028-00,,20.00,20.00,1,https://www.polo.gr/bags/urban/waist-bag/el-coinholder-polo-00/
